goodbye for now,Goodbye Greetings
I am well,Feeling Answers
I am fine thank you,Feeling Answers
I am fine thank you,Feeling Answers
I am fine thank you,Feeling Answers
fine,Feeling Answers
fine thank you,Feeling Answers
I am fine,Feeling Answers
I am fine,Feeling Answers
I am fine,Feeling Answers
yes I am fine,Feeling Answers
I am doing fine,Feeling Answers
I am doing good,Feeling Answers
I am doing great,Feeling Answers
I am doing quite well,Feeling Answers
I am doing very very,Feeling Answers
I am doing very,Feeling Answers
I am very good,Feeling Answers
I am doing very very well,Feeling Answers
I am doing very well,Feeling Answers
I am doing well,Feeling Answers
I am quite good,Feeling Answers
I am quite fine,Feeling Answers
I am quite well,Feeling Answers
I am fine too,Feeling Answers
I am okay,Feeling Answers
I am pretty good,Feeling Answers
I am good,Feeling Answers
I am good thank you,Feeling Answers
yes I am doing fine,Feeling Answers
yes I am doing good,Feeling Answers
yes I am doing great,Feeling Answers
yes I am doing quite well,Feeling Answers
yes I am doing very very,Feeling Answers
yes I am doing very,Feeling Answers
yes I am very good,Feeling Answers
yes I am doing very very well,Feeling Answers
yes I am doing very well,Feeling Answers
yes I am doing well,Feeling Answers
yes I am quite good,Feeling Answers
yes I am quite fine,Feeling Answers
yes I am quite well,Feeling Answers
yes I am fine too,Feeling Answers
yes I am okay,Feeling Answers
yes I am pretty good,Feeling Answers
yes I am good,Feeling Answers
no I am doing fine,Feeling Answers
no I am doing good,Feeling Answers
no I am doing great,Feeling Answers
no I am doing quite well,Feeling Answers
no I am doing very very,Feeling Answers
no I am doing very,Feeling Answers
no I am very good,Feeling Answers
no I am doing very very well,Feeling Answers
no I am doing very well,Feeling Answers
no I am doing well,Feeling Answers
no I am quite good,Feeling Answers
no I am quite fine,Feeling Answers
no I am quite well,Feeling Answers
no I am fine too,Feeling Answers
no I am okay,Feeling Answers
no I am pretty good,Feeling Answers
no I am good,Feeling Answers
not so bad,Feeling Answers
not so bad,Feeling Answers
not so bad yourself,Feeling Answers
not so bad yourself,Feeling Answers
I am doing fine thank you,Feeling Answers
I am doing good thank you,Feeling Answers
I am doing great thank you,Feeling Answers
I am doing quite well thank you,Feeling Answers
I am doing very very thank you,Feeling Answers
I am doing very thank you,Feeling Answers
I am doing very very well thank you,Feeling Answers
I am doing very well thank you,Feeling Answers
I am doing well thank you,Feeling Answers
I am fine too thank you,Feeling Answers
I am okay thank you,Feeling Answers
I am pretty good thank you,Feeling Answers
not too bad thank you,Feeling Answers
not too bad thank you,Feeling Answers
not too bad thank you,Feeling Answers
not so bad thank you,Feeling Answers
not so bad thank you,Feeling Answers
I am good and you,Feeling Answers
Great thanks how are you,Feeling Answers
Good thanks,Feeling Answers
good thanks,Feeling Answers
been pretty good,Feeling Answers
pretty good,Feeling Answers
pretty good,Feeling Answers
good thank you,Feeling Answers
good thank you,Feeling Answers
quite good,Feeling Answers
Great as always,Feeling Answers
Great as always,Feeling Answers
I am alright,Feeling Answers
I am alright,Feeling Answers
I am alright,Feeling Answers
I am alright thank you,Feeling Answers
I am alright thank you,Feeling Answers
I am alright thank you,Feeling Answers
things are good,Feeling Answers
things are good,Feeling Answers
things are  good,Feeling Answers
things are  good,Feeling Answers
things are well,Feeling Answers
things are well,Feeling Answers
things are  well,Feeling Answers
things are  well,Feeling Answers
things are good thank you,Feeling Answers
things are good thank you,Feeling Answers
things are  good thank you,Feeling Answers
things are  good thank you,Feeling Answers
things are well thank you,Feeling Answers
things are well thank you,Feeling Answers
things are  well thank you,Feeling Answers
things are  well thank you,Feeling Answers
doing well,Feeling Answers
doing well,Feeling Answers
doing well,Feeling Answers
feeling good,Feeling Answers
feeling good,Feeling Answers
pretty darn good,Feeling Answers
pretty darn good,Feeling Answers
not too bad your self,Feeling Answers
not too bad your self,Feeling Answers
not too bad your self,Feeling Answers
not so bad your self,Feeling Answers
not so bad your self,Feeling Answers
life is good,Feeling Answers
life is good,Feeling Answers
yes life is good,Feeling Answers
yes life is good,Feeling Answers
I am well,Feeling Answers
I am well thank you,Feeling Answers
not bad,Feeling Answers
not bad thank you,Feeling Answers
I am very well,Feeling Answers
very well,Feeling Answers
really well,Feeling Answers
very well thank you,Feeling Answers
really well thank you,Feeling Answers
not to bad,Feeling Answers
not to bad yourself,Feeling Answers
not too bad,Feeling Answers
not too bad yourself,Feeling Answers
pretty good thank you,Feeling Answers
I am ok,Feeling Answers
I am all right,Feeling Answers
I am ok thank you,Feeling Answers
I am all right thank you,Feeling Answers
I am in a good mood,Feeling Answers
I am great,Feeling Answers
I am great thank you,Feeling Answers
great thank you,Feeling Answers
well thank you,Feeling Answers
it is going good,Feeling Answers
doing good,Feeling Answers
doing great,Feeling Answers
doing fine,Feeling Answers
doing ok,Feeling Answers
doing just fine,Feeling Answers
I am feeling good,Feeling Answers
I feel good,Feeling Answers
I have been good,Feeling Answers
I have been great,Feeling Answers
I have been well,Feeling Answers
I feel so good,Feeling Answers
I am feeling so good,Feeling Answers
I am better than good,Feeling Answers
not to bad your self,Feeling Answers
I am really good,Feeling Answers
I am brilliant thank you,Feeling Answers
I feel ok,Feeling Answers
I feel ok thank you,Feeling Answers
It is nice to meet you.,Goodbye Replies
it is nice to meet you,Goodbye Replies
it is nice to meet,Goodbye Replies
nice to meet you too,Goodbye Replies
nice to meet you too,Goodbye Replies
great to meet you,Goodbye Replies
great to meet you,Goodbye Replies
great to meet you,Goodbye Replies
nice to meet you to,Goodbye Replies
pleased to meet,Goodbye Replies
pleased to meet,Goodbye Replies
nice to have met you too,Goodbye Replies
nice to have met you too,Goodbye Replies
good to have met you,Goodbye Replies
good to have met you,Goodbye Replies
good to have met you,Goodbye Replies
great to have met you,Goodbye Replies
great to have met you,Goodbye Replies
great to have met you,Goodbye Replies
nice to have met you,Goodbye Replies
nice to have met you,Goodbye Replies
nice to have met you to,Goodbye Replies
pleased to have met,Goodbye Replies
pleased to have met,Goodbye Replies
It is nice too meet you.,Goodbye Replies
it is nice too meet you,Goodbye Replies
it is nice too meet,Goodbye Replies
great too meet you,Goodbye Replies
great too meet you,Goodbye Replies
great too meet you,Goodbye Replies
nice too meet you too,Goodbye Replies
pleased too meet,Goodbye Replies
pleased too meet,Goodbye Replies
good too have met you,Goodbye Replies
good too have met you,Goodbye Replies
good too have met you,Goodbye Replies
great too have met you,Goodbye Replies
great too have met you,Goodbye Replies
great too have met you,Goodbye Replies
nice too have met you,Goodbye Replies
nice too have met you,Goodbye Replies
nice too have met you too,Goodbye Replies
pleased too have met,Goodbye Replies
pleased too have met,Goodbye Replies
It is nice 2 meet you.,Goodbye Replies
it is nice 2 meet you,Goodbye Replies
it is nice 2 meet,Goodbye Replies
great 2 meet you,Goodbye Replies
great 2 meet you,Goodbye Replies
great 2 meet you,Goodbye Replies
nice 2 meet you 2,Goodbye Replies
pleased 2 meet,Goodbye Replies
pleased 2 meet,Goodbye Replies
good 2 have met you,Goodbye Replies
good 2 have met you,Goodbye Replies
good 2 have met you,Goodbye Replies
great 2 have met you,Goodbye Replies
great 2 have met you,Goodbye Replies
great 2 have met you,Goodbye Replies
nice 2 have met you,Goodbye Replies
nice 2 have met you,Goodbye Replies
nice 2 have met you 2,Goodbye Replies
pleased 2 have met,Goodbye Replies
pleased 2 have met,Goodbye Replies
nice to meet you,Goodbye Replies
it is nice to meet you too,Goodbye Replies
nice to met you,Goodbye Replies
nice to  met you,Goodbye Replies
good to meet you,Goodbye Replies
nice too meet you,Goodbye Replies
good too meet you,Goodbye Replies
nice 2 meet you,Goodbye Replies
good 2 meet you,Goodbye Replies
